,name,rating,date,one,two,three,four,five,tag,tag_name,region,region_name,era,is_made_in_china,log10_proportion
0,阿凡达：水之道 Avatar: The Way of Water(2022),8.0,2022-12-14,30.5,45.0,21.2,2.8,0.6,tag1,动作,region1, 美国,2020s,0.0,1.4842998393467859
1,阿凡达：水之道 Avatar: The Way of Water(2022),8.0,2022-12-14,30.5,45.0,21.2,2.8,0.6,tag1,动作,region1, 美国,2020s,0.0,1.4842998393467859
2,利刃出鞘2 Glass Onion: A Knives Out Mystery(2022),6.8,2022-09-10,8.4,33.8,46.9,9.2,1.6,tag1,剧情,region1, 美国,2020s,0.0,0.9242792860618817
3,万里归途(2022),7.4,2022-09-30,16.7,45.1,31.5,4.6,2.1,tag1,剧情,region1, 中国大陆,2020s,1.0,1.2227164711475833
4,伊尼舍林的报丧女妖 The Banshees of Inisherin(2022),7.8,2022-09-05,22.7,50.6,23.2,2.6,0.8,tag1,剧情,region1, 爱尔兰 ,2020s,0.0,1.3560258571931227
5,独行月球(2022),6.6,2022-07-29,10.4,30.4,43.5,12.4,3.3,tag1,喜剧,region1, 中国大陆,2020s,1.0,1.0170333392987803
6,你好，李焕英(2021),7.7,2021-02-12,23.5,45.0,27.1,3.5,0.9,tag1,剧情,region1, 中国大陆,2020s,1.0,1.3710678622717363
7,名侦探柯南：万圣节的新娘 名探偵コナン ハロウィンの花嫁(2022),7.4,2022-04-15,17.3,41.4,35.0,5.3,1.1,tag1,动作,region1, 日本,2020s,0.0,1.2380461031287955
8,分手的决心 헤어질 결심(2022),7.6,2022-05-23,19.3,47.4,29.0,3.5,0.8,tag1,剧情,region1, 韩国,2020s,0.0,1.2855573090077739
9,花束般的恋爱 花束みたいな恋をした(2021),8.6,2021-01-29,44.4,42.7,11.5,1.0,0.3,tag1,剧情,region1, 日本,2020s,0.0,1.6473829701146199
10,悲情三角 Triangle of Sadness(2022),7.5,2022-05-21,17.8,44.5,31.8,4.9,1.0,tag1,剧情,region1, 瑞典 ,2020s,0.0,1.250420002308894
11,扫黑行动(2022),4.6,2022-11-11,3.1,16.3,20.9,26.9,32.9,tag1,动作,region1, 中国大陆,2020s,1.0,0.4913616938342727
12,人生大事(2022),7.3,2022-06-24,14.5,43.7,35.7,5.0,1.0,tag1,剧情,region1, 中国大陆 ,2020s,1.0,1.1613680022349748
13,子弹列车 Bullet Train(2022),7.9,2022-08-03,24.9,47.6,23.9,3.0,0.7,tag1,喜剧,region1, 美国 ,2020s,0.0,1.3961993470957363
14,唐人街探案3(2021),5.3,2021-02-12,3.6,12.4,41.1,29.6,13.2,tag1,喜剧,region1, 中国大陆 ,2020s,1.0,0.5563025007672873
15,明日战记 明日戰記(2022),6.2,2022-08-05,8.7,21.6,46.3,18.8,4.7,tag1,动作,region1, 中国香港 ,2020s,1.0,0.9395192526186185
16,新神榜：杨戬(2022),7.0,2022-08-19,12.2,37.3,40.6,8.2,1.7,tag1,动作,region1, 中国大陆,2020s,1.0,1.0863598306747482
17,航海王：红发歌姬 ONE PIECE FILM RED(2022),7.1,2022-08-06,15.9,35.4,38.4,8.6,1.7,tag1,动作,region1, 日本,2020s,0.0,1.2013971243204515
